pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
yel11,Nubia Navarro,Colombia,Concrete Houses,contemporary,architecture,Pexels,https://images.pexels.com/photos/3221216/pexels-photo-3221216.jpeg,07,yellow_item,yellow,"/img/derivatives/iiif/images/yel11/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel11/full/1140,/0/default.jpg",/img/derivatives/iiif/yel11/manifest.json
yel06,Karolina Grabowska,Poland,Bee on a Sunflower,contemporary,nature,Pexels,https://images.pexels.com/photos/5478145/pexels-photo-5478145.jpeg,03,yellow_item,yellow,"/img/derivatives/iiif/images/yel06/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel06/full/1140,/0/default.jpg",/img/derivatives/iiif/yel06/manifest.json
yel13,Rotekirsche 20,unknown,Yellow wall with small window,contemporary,architecture,Pexels,https://images.pexels.com/photos/5438813/pexels-photo-5438813.jpeg,09,yellow_item,yellow,"/img/derivatives/iiif/images/yel13/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel13/full/1140,/0/default.jpg",/img/derivatives/iiif/yel13/manifest.json
yel01,Adrianna Calvo,USA,Closeup Photo of Yellow Taxi,contemporary,vehicle,Pexels,https://images.pexels.com/photos/1053765/pexels-photo-1053765.jpeg,00,yellow_item,yellow,"/img/derivatives/iiif/images/yel01/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel01/full/1140,/0/default.jpg",/img/derivatives/iiif/yel01/manifest.json
yel05,Jill Burrow,USA,Bouquet of bright yellow chrysanthemums in glass vase casting shadow on wall in daylight,contemporary,still_life,Pexels,https://images.pexels.com/photos/5987200/pexels-photo-5987200.jpeg,02,yellow_item,yellow,"/img/derivatives/iiif/images/yel05/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel05/full/1140,/0/default.jpg",/img/derivatives/iiif/yel05/manifest.json
yel02,David Bartus,unknown,Selective-focus Photography of Yellow Petaled Flowers,contemporary,nature,Pexels,https://images.pexels.com/photos/403846/pexels-photo-403846.jpeg,01,yellow_item,yellow,"/img/derivatives/iiif/images/yel02/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel02/full/1140,/0/default.jpg",/img/derivatives/iiif/yel02/manifest.json
yel09,Natalie,unknown,From above of delicious piece of cheesecake with colorful gelatin on top on saucer with spoon,contemporary,food,Pexels,https://images.pexels.com/photos/5733500/pexels-photo-5733500.jpeg,06,yellow_item,yellow,"/img/derivatives/iiif/images/yel09/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel09/full/1140,/0/default.jpg",/img/derivatives/iiif/yel09/manifest.json
yel07,Laker,unknown,Full frame top view of clean yellow sand with ribbed stones chaotically spread around,contemporary,texture,Pexels,https://images.pexels.com/photos/6156544/pexels-photo-6156544.jpeg,04,yellow_item,yellow,"/img/derivatives/iiif/images/yel07/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel07/full/1140,/0/default.jpg",/img/derivatives/iiif/yel07/manifest.json
yel08,Lukas Rychvalsky,unknown,Woman Wearing Gold Sleeveless Top on Tube Platform,contemporary,human,Pexels,https://images.pexels.com/photos/670791/pexels-photo-670791.jpeg,05,yellow_item,yellow,"/img/derivatives/iiif/images/yel08/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel08/full/1140,/0/default.jpg",/img/derivatives/iiif/yel08/manifest.json
yel15,Shvets Anna,Russia,Yellow and Red Concrete Building,contemporary,architecture,Pexels,https://images.pexels.com/photos/2563700/pexels-photo-2563700.jpeg,10,yellow_item,yellow,"/img/derivatives/iiif/images/yel15/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel15/full/1140,/0/default.jpg",/img/derivatives/iiif/yel15/manifest.json
yel12,Pixabay,unknown,Yellow squashes and courgettes,contemporary,food,Pexels,https://images.pexels.com/photos/139394/zucchini-vegetables-yellow-vegetarian-139394.jpeg,08,yellow_item,yellow,"/img/derivatives/iiif/images/yel12/full/250,/0/default.jpg","/img/derivatives/iiif/images/yel12/full/1140,/0/default.jpg",/img/derivatives/iiif/yel12/manifest.json
